entityid,name,address,neighbourhood,url,construction_date,latitude,longitude
9c2166b3-0485-4e71-b966-803c3f618c2e,A. Macdonald Building,10128 - 105 Avenue,Central-McDougall,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/AMacDonald2Building.pdf,1913-14,53.547918,-113.494301
08f625a9-9f14-4b7b-9cba-c0c3c577ee2b,Arlington Apartments,10524 - 100 Avenue,Downtown,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/ArlingtonApartments.pdf,1909,53.539056,-113.501645
f976242b-0b8b-449c-9e4c-9d913b3a458b,Armstrong Block,10125-10127 - 104 Street,Downtown,,1912,53.541552,-113.499019
b5d06c17-6d13-4904-8256-f131df585adf,Balfour Manor,10139 - 116 Street,Oliver,,1912-39,53.541797,-113.521068
8c12bc2e-0204-47aa-b91d-a7886f8fdb3f,Bard Residence,10544 - 84 Avenue,Strathcona,,1912,53.520246,-113.501833
ca441ec5-4bce-414a-bea7-8206424d3808,CPR Station,8101 - Gateway Blvd,CPR West,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/CPRStation.pdf,1907-08,53.517187,-113.49464
70de7174-30b3-49ea-8738-9a7d495ad257,Canadian Consolidated Rubber Company Warehouse,10249 - 104 Street,Downtown,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/CanadianConsolidatedRubber.pdf,1913,53.543789,-113.499044
788a77aa-6eb8-467c-9157-dbe1571b634a,Cecil S. Burgess Residence,10958 - 89 Avenue,Garneau,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/CecilBurgessResidence.pdf,c1914,53.524934,-113.5135
6f24915b-69e2-43c7-94ca-2ec1cc433cfd,Charles Barker Residence,10834 - 125 Street,Westmount,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/CharlesBarkerResidence.pdf,1914,53.55309,-113.537814
8b6dc3ff-4df7-4925-a48f-1bf4d8433994,Charles J. Carter Residence,10603 - 103 Street,McCauley,,c1909,53.550012,-113.497165
e381519f-c3f1-4f26-a2f1-07a6c30a8cec,Childrens Shelter / Ross Flats,9540 - 101 Street,Rossdale,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/RossApartment.pdf,1911-12,53.531551,-113.493941
