NAME,NEIGHBOURHOOD,URL,CONSTRUCTION_DATE,LOCATION,ADDRESS,LATITUDE,LONGITUDE
McTaggart Residence,Alberta Avenue,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/McTaggartResidence.pdf,1922,"11530 95A Street
(53.566316, -113.488814)",11530 - 95A Street,53.566316,-113.488814
John McNeill Residence,Alberta Avenue,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/JohnMcNeilResidence.pdf,1907/8,"11217 97 Street
(53.561435, -113.491467)",11217 - 97 Street,53.561435,-113.491467
St Francis Of Assissi,Balwin,,c.1925,"6670 129 Avenue
(53.587857, -113.444004)",6670 - 129 Avenue,53.587857,-113.444004
Molstad Residence,Bonnie Doon,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/MolstadResidence.pdf,1912,"9633 95 Avenue
(53.531889, -113.47706)",9633 - 95 Avenue,53.531889,-113.47706
Hecla Block,Boyle Street,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/HeclaBlock.pdf,1914,"10141 95 Street
(53.544624, -113.47824)",10141 - 95 Street,53.544624,-113.47824
Gibson Block,Boyle Street,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/GibsonBlock.pdf,1913,"9604 9608 - Jasper Avenue
(53.54366, -113.482414)",9604-9608 - Jasper Avenue,53.54366,-113.482414
Pendennis Hotel / Lodge Hotel,Boyle Street,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/PendennisHotel.pdf,1904/12,"9660 9664 - Jasper Avenue
(53.54292, -113.483861)",9660-9664 - Jasper Avenue,53.54292,-113.483861
Ernest Brown Block / Brighton Block,Boyle Street,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/ErnestBrownBrightonBlock.pdf,1911-13,"9666 9674 - Jasper Avenue
(53.542842, -113.484047)",9666-9674 - Jasper Avenue,53.542842,-113.484047
Goodridge Building,Boyle Street,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/GoodridgeBlock.pdf,1911-12,"9696 9698 - Jasper Avenue
(53.542438, -113.485228)",9696-9698 - Jasper Avenue,53.542438,-113.485228
Gem Theatre,Boyle Street,http://www.edmonton.ca/infraplan/Heritage/register/pdfs/GemTheatre.pdf,1913-14,"9680 9686 - Jasper Avenue
(53.542653, -113.484599)",9680-9686 - Jasper Avenue,53.542653,-113.484599
